,videoid,title,views,like,dislike,age,length,description
26,gVWdxk4QjEM,Top Colleges for Artificial Intelligence in India – [Hindi] – Quick Support,25784,1761,42,2020-10-09T11:03:41Z,PT4M49S,TopCollegesforArtificialIntelligenceinIndia #QuickSupport #Career Top Colleges for Artificial Intelligence in India – [Hindi] – Quick Support. आज क्विक ...
27,JRBUMuKumG0,"Artificial Intelligence in Hindi | Free Course by Google | Machine Learning | Career, Scope",432523,19057,783,2018-06-21T13:27:34Z,PT5M30S,"Artificial Intelligence in Hindi | Free Course by Google | Machine Learning | Career, Scope Google Free Course - https://ai.google/education/ EDUCATIONAL ..."
28,xjFWvc7JPlo,AI - खतरा या वरदान | Artificial intelligence explained | The Future era of ROBOTICS,200225,9397,271,2019-06-22T13:41:53Z,PT10M49S,"Artificial intelligence today is properly known as narrow AI (or weak AI), in that it is designed to perform a narrow task (e.g. only facial recognition or only internet ..."
29,mJeNghZXtMo,What is Artificial Intelligence (or Machine Learning)?,872589,7313,308,2017-01-30T20:19:44Z,PT6M15S,"Let's break down the basics of artificial intelligence, bots, and machine learning. Besides, there's nothing that will impact marketing more in the next five to ten ..."
30,CVMjIiry5As,In Depth - Artificial Intelligence in India,76824,1899,23,2018-05-10T13:13:27Z,PT24M20S,NITI Aayog has joined hands with Google to promote the growth of artificial intelligence and a machine learning ecosystem in India. Google has been tasked ...
31,XSgfE2vg-Kk,Top 5 Female Humanoid Robots 2020 - Artificial Intelligence And Future,2497248,16170,1609,2020-04-24T16:30:13Z,PT6M57S,"Top 5 Female Humanoid Robots 2020 - Artificial Intelligence And Future Meet Harmony, the robot from California-based Realbotix, has been in development ..."
32,XIrOM9oP3pA,Python Artificial Intelligence Tutorial - AI Full Course for Beginners in 9 Hours [2021],161220,9633,154,2021-01-01T19:00:10Z,PT8H57M30S,Time Stamps ... ENJOY   3:02 - Face Detector App 2:08:42 - Self Driving Car App 4:11:47 - Smile Detector App 6:47:03 - TensorFlow Image Classifier App ...
33,ZoemTySxFso,10 Scariest A.I. Robot Moments,2706146,27614,5596,2018-08-06T18:54:41Z,PT11M11S,Here are the scariest things ever said or done by artificial intelligent robots. They will soon take over the world! Links to videos in this list: Alexa: ...
34,BCh7u1q40X4,[Hindi] What is Artificial Intelligence ? | Kya hai Artificial Intelligence | In Simple Words,268695,7286,372,2016-12-08T16:15:25Z,PT4M10S,Hello Dosto !! Aaj hum baat karenge Artificial Intelligence ke bare me ki ye kya hota hai aur aage chal kar iska kya scope ho sakta hai. aasha karta hoo aap ...
35,Pls_q2aQzHg,Artificial Intelligence: Mankind&#39;s Last Invention,3359911,80052,2852,2018-10-05T18:30:00Z,PT20M22S,---------- Some of my favorite books: Pale Blue Dot: A Vision of the Human Future in Space by Carl Sagan https://amzn.to/2T7YmAZ A Universe from Nothing by ...
36,A2pWrsazd7k,India has Joined GPAI Global Partnership on Artificial Intelligence Current Affairs 2020 #UPSC,520792,35852,367,2020-06-18T14:00:04Z,PT10M45S,Click here https://bit.ly/2wJs0SV to Download our Android APP to have access to 1000's of #Smart_Courses covering length and breadth of almost all ...
37,7jVKwYQdKww,"Introduction to Artificial Intelligence, Machine Learning, Deep Learning in Telugu | Vamsi Bhavani",40227,1635,54,2020-01-08T11:30:21Z,PT22M8S,This all began with a doubt... AI vs ML vs DL My doubt was why these words used interchangeably even when they are not the same. I came to a conclusion ...
38,UySLxFwxzOs,मोदी और अम्बानी का प्रोजेक्ट &quot;AI BHARAT&quot; (Artificial Intelligence),332433,21038,1653,2020-10-09T04:31:57Z,PT7M42S,For any type of advertisement Contact us : knowledgetv460@gmail.com भारत की जनता के लिए शुद्ध देसी Knowledge वो भी हिंदी में To open ...
39,H15uuDMqDK0,Elon Musk on Artificial Intelligence,1583466,27594,794,2019-10-14T09:29:13Z,PT19M27S,"It is not the first time Musk has made frightening predictions about the potential of artificial intelligence — he has, for example, called AI vastly more dangerous ..."
40,ma4bPnU6tII,Top Artificial Intelligence AI Predictions for 2021,4521,128,5,2021-02-03T11:15:03Z,PT8M47S,"Top Artificial Intelligence AI Predictions for 2021 In 2019, IDC predicted growth in AI technology, stating that spending on AI tech would increase over two and a ..."
41,3d7fpv7CVH0,बहुत जल्द खत्म हो जाएगा इंसानों का वजूद | Will Artificial Intelligence destroy Humanity in Hindi,1835596,40276,3020,2018-02-01T13:52:13Z,PT10M35S,बहुत जल्द खत्म हो जाएगा इंसानों का वजूद | Will Artificial Intelligence destroy Humanity in Hindi Follow us: ...
42,GyI3WE5PKpY,AI explained in malayalam | Artificial intelligence and machine learning,10199,530,8,2020-08-02T13:31:57Z,PT29M52S,"Hi Friends, welcome back to another video. In this video, I tried to explain the concept of Artificial Intelligence, Machine Learning and Deep learning as simple as ..."
43,z-EtmaFJieY,Machine Learning &amp; Artificial Intelligence: Crash Course Computer Science #34,629549,14075,218,2017-11-01T21:50:13Z,PT11M51S,"So we've talked a lot in this series about how computers fetch and display data, but how do they make decisions on this data? From spam filters and self-driving ..."
44,0yCJMt9Mx9c,How does artificial intelligence learn? - Briana Brownell,167399,9435,520,2021-03-11T16:01:36Z,PT4M57S,"Explore the three major methods of machine learning, which allows computers to write their own rules to problem solve and process data. -- Today, artificial ..."
45,gOSZzSA2m74,THE ROBOT KILLER ANKI VECTOR VS MANTIS! ARTIFICIAL INTELLIGENCE AGAINS MANTIS,2758150,40624,4816,2020-05-28T20:00:19Z,PT6M3S,"This video doesn 't call for violence! In this video, the insect did not hurt. The video is created for the scientific experimental purpose - to see how artificial ..."
46,5dZ_lvDgevk,In the Age of AI (full film) | FRONTLINE,7613323,73341,5092,2019-12-02T19:00:56Z,PT1H54M17S,A documentary exploring how artificial intelligence is changing life as we know it — from jobs to privacy to a growing rivalry between the U.S. and China.
47,Sq36J9pNaEo,"Meet Sophia, World&#39;s First AI Humanoid Robot | Tony Robbins",4567395,83213,6284,2020-01-17T00:43:00Z,PT9M56S,"Sophia travels to Palm Beach, Florida, to meet with Tony Robbins during our Date With Destiny event — and Tony did not hold back on asking some tough ..."
48,cW9shEB8h5E,Artificial Intelligence In 10 Minutes | What Is Artificial Intelligence?| AI Explained | Simplilearn,4365,131,7,2020-11-06T06:30:01Z,PT10M6S,"Artificial Intelligence is the most debated technology of the 21st century. It is widely used to solve complex problems and ease human tasks. In this video, you will ..."
49,v7mOZQeATKU,What is AI ? Artificial Intelligence - Real Future ?  | Tamil Tech Explained,98458,4737,90,2018-01-30T15:56:10Z,PT7M23S,"What is AI ? Artificial Intelligence - Real Future ? | Tamil Tech Explained - Like and Share this Video, Subscribe and Support us ."
50,2017kmkEukE,5 Wonderful Humanoid Robots With Emotions &amp; Artificial Intelligence - Best Robots #23,2575361,12272,1261,2017-09-25T04:47:53Z,PT5M2S,5 Wonderful Humanoid Robots With Emotions & Artificial Intelligence || Best Robots #23 ...
51,-ePZ7OdY-Dw,How artificial intelligence is changing our society | DW Documentary,1029507,11034,715,2020-04-18T18:00:01Z,PT42M26S,"Artificial intelligence (AI) is changing our lives. It touches on all aspects of society - private life, business, security -- including in the spread of fake news and the ..."
52,yCXm5cgG0UA,What is Artificial Intelligence (A.I.) and Robotics?,11001,228,5,2019-04-26T14:03:24Z,PT4M55S,"We know AI is coming in, helping us with Netflix recommendations and our Spotify playlists, but what about robots and the takeover of the world... cybernetic ..."
53,cfd0p9HhMKM,Don&#39;t fear artificial intelligence: Neil deGrasse Tyson,33917,340,106,2015-08-04T05:10:09Z,PT6M2S,"Astrophysicist Neil deGrasse Tyson: ""I don't fear artificial intelligence."" Watch more: http://ab.co/1IlDSE2 Read more: http://ab.co/degrasse."
54,EnoM5MYi7pQ,Artificial Intelligence - Career | Courses and Colleges,120954,2270,203,2018-11-30T05:30:57Z,PT3M22S,This video guides you about the career in AI- Artificial Intelligence. Details of Colleges and Courses described here by Melsha. Machine Learning is becoming a ...
55,OEoU9k5hApM,Artificial Intelligence | Machine Learning | Documentary | Canadian Economy | Robots | Robotics | AI,15665,427,11,2020-09-17T12:04:23Z,PT43M11S,"Artificial Intelligence (AI) and robotics in Canada, Deep Learning, Machine Learning --- Bloomberg Businessweek presents an exclusive premiere of the latest ..."
56,Izd2qOgOGQI,Artificial intelligence and its ethics | DW Documentary,875380,6190,423,2019-08-14T16:00:04Z,PT42M31S,Are we facing a golden digital age or will robots soon run the world? We need to establish ethical standards in dealing with artificial intelligence - and to answer ...
57,opgTF9Yf3Dk,Artificial Intelligence Tutorial | Artificial Intelligence Tutorial for Beginners | AI Full Course,69117,1712,32,2020-02-28T10:32:13Z,PT7H11M57S,"People skilled in Artificial Intelligence are paid around $150k per annum. Top companies such as Google, Facebook, Apple, and Microsoft invest heavily in the ..."
58,vcy6pfSotQk,Best Artificial Intelligence Stocks to Buy in 2021!,64659,2047,86,2020-12-09T13:00:17Z,PT17M12S,"Welcome to my world of stocks!!! My name is Ale, and today, we are talking about my absolute favorite Artificial Intelligence stocks for 2021 and beyond!"
59,_eaJd3muf2E,What Is The Impact Of Artificial Intelligence (AI) On Society?,2063,54,1,2021-01-15T09:26:34Z,PT8M7S,"Here we look at how artificial intelligence is changing our society, in both, positive and negative ways. If you would like more information on this topic, please feel ..."
60,ThtetGx5ct0,Virtual Assistant  - powered by Artificial Intelligence,16005,108,6,2017-02-06T10:14:32Z,PT4M16S,"In today's digital market, AI can be the key to unlocking the door to the future of customer experience. The ServIntuit's virtual assistant harnesses the power by an ..."
61,tvAh0JZF2YE,A* algorithm in AI (artificial intelligence) in HINDI | A* algorithm with example,267602,4571,99,2019-04-05T12:27:33Z,PT14M34S,"Join Scaler Academy by InterviewBit, India's 1st job-driven online tech-versity. Accelerate your tech skills in 6-months and land a job at the top tech companies ..."
62,TRzBk_KuIaM,The Real Reason to be Afraid of Artificial Intelligence | Peter Haas | TEDxDirigo,2007352,25861,2125,2017-12-15T15:55:54Z,PT12M38S,"A robotics researcher afraid of robots, Peter Haas, invites us into his world of understand where the threats of robots and artificial intelligence lie. Before we get ..."
63,fmJ74774RO8,VFX Artists Compete Against Artificial Intelligence,1151712,66709,564,2021-01-31T17:00:11Z,PT14M56S,This Episode ▻ Is AI the future of the VFX industry? The Crew goes head-to-head with Runway ML's new Green Screen feature in a Roto Race to find out.
64,sE99cSoFOHs,Artificial intelligence and machine learning with SQL Server 2019,13790,212,6,2019-05-24T22:35:55Z,PT22M30S,"In this video, Anna Thomas, an Applied Data scientist on the Azure data team talks about the machine learning and AI capabilities in SQL Server 2019."
65,ZCeOsdcQObI,Elon Musk&#39;s Message on Artificial Superintelligence - ASI,530929,11239,517,2020-10-24T19:00:07Z,PT10M4S,Elon Musk is on the record stating that artificial superintelligence or ASI could bring the end of the human race. Elon has publicly expressed concern about AI ...
66,mhutZM8Hmt8,"10 incredible cases, when artificial intelligence shocked. Smart neural networks",114424,2386,412,2020-10-14T16:33:48Z,PT7M2S,10 incredible cases when artificial intelligence shocked its creators. What is the artificial intelligence capable of. Smart neural networks. AI Bugs. Amazing facts ...
67,tH_spSVPLjQ,Artificial Intelligence in Cataract Surgery | Latest Cataract Operation: AI-LensX | Eye7 Hospitals,27383,537,28,2021-02-08T12:42:48Z,PT21M29S,"इस विडियो में डॉ राहिल चौधरी, INDIA न्यूज़ के माध्यम से लोगों को सफ़ेद मोतियाबिंद (Cataract) के बारे में जागरूक कर रहें ..."
68,R3YFxF0n8n8,The History of Artificial Intelligence [Documentary],378806,3844,181,2020-03-26T19:00:08Z,PT2H34M37S,This video is the culmination of documentaries that cover the history and origins of computing-based artificial intelligence. [0:44-52:22] - The Thinking Machine ...
69,BrNs0M77Pd4,Artificial Intelligence: it will kill us | Jay Tuck | TEDxHamburgSalon,3786821,39978,5555,2017-01-31T18:36:05Z,PT17M33S,"For more information on Jay Tuck, please visit our website www.tedxhamburg.de US defense expert Jay Tuck was news director of the daily news program ..."
70,ww8dipDyirE,Success Story of Shiva Rama Krishna | PG Program In Artificial Intelligence &amp; Machine Learning,98456,42,3,2019-05-29T13:27:39Z,PT3M23S,"In this video, Shiva Rama Krishna who has been in the industry for almost 15 years, shares his good experiences of systematic learning with Great Learning's ..."
71,zN4XboJ-hmw,Will Artificial Intelligence Take Away Our Jobs?,61781,1621,37,2018-10-16T04:29:20Z,PT10M22S,"Sadhguru speaks at NID, Ahmedabad, and looks at whether artificial intelligence is a boon or bane and how it will change our lives in the next few years."
72,_p3N64OFkIA,Scope And Potential Of Artificial intelligence In India,11433,124,9,2017-09-12T11:23:42Z,PT12M50S,"According to a recent PricewaterhouseCoopers (PwC) report, Artificial Intelligence (AI) is expected to contribute an additional $ 15.7 trillion to the global GDP by ..."
73,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,1847454,41359,2909,2019-11-13T23:02:20Z,PT10M30S,"The danger of artificial intelligence isn't that it's going to rebel against us, but that it's going to do exactly what we ask it to do, says AI researcher Janelle Shane."
74,H3apVaTskQM,Last Warning to all by Elon Musk | Artificial intelligence threat |Open AI must watch,1286,53,2,2021-03-08T04:11:52Z,PT1M24S,Last Warning to all by Elon Musk | Artificial intelligence threat | Elon Musk on ai | Open AI.
75,y5swZ2Q_lBw,Types Of Artificial Intelligence | Artificial Intelligence Explained | What is AI? | Edureka,84290,2078,67,2019-07-15T04:51:46Z,PT12M51S,------------------------------------- About the Masters Program Edureka's Machine Learning Engineer Masters Program makes you proficient in techniques like ...
76,uBUzpAR7zfw,Computer Pilot VS Human Pilot - FS2020 Artificial Intelligence,586396,13261,378,2020-08-23T00:17:36Z,PT10M38S,Today's Video: Computer Pilot VS Human Pilot - MFS2020 Artificial Intelligence Instagram: https://www.instagram.com/swiss001yt/ Twitter: ...
77,iz375qgM6wI,B.Tech in Artificial Intelligence in India | Colleges | Fees | Admission | Career | Salary,18949,613,37,2020-06-18T12:30:13Z,PT10M9S,Video contains: 1. Top 14 colleges in India offering B.Tech Degree or advanced specialization in Artificial Intelligence. 2. Fees of these colleges offering AI. 3.
78,DgDMyLkiQ6Y,Artificial Intelligence: How It Works and What It Means for the Future - Yisong Yue - 1/13/2021,1482,47,2,2021-01-20T00:24:42Z,PT43M8S,"Over the past decade, artificial intelligence (AI) and the massive amounts of data powering such systems have dramatically changed our world. And as both the ..."
79,a0_lo_GDcFw,What Is Artificial Intelligence? Crash Course AI #1,395216,12800,253,2019-08-09T20:44:25Z,PT11M46S,"Artificial intelligence is everywhere and it's already making a huge impact on our lives. It's autocompleting texts on our cellphones, telling us which videos to ..."
80,YeKkXSOJXSI,Switzerland – where artificial intelligence meets innovation.,203976,3,0,2020-11-17T15:22:33Z,PT46S,"Why is Switzerland an AI hub? • Highly specialized AI infrastructure, know-how, and talent pool • Excellent AI research institutes - particularly good in basic ..."
81,nq8la9qknx8,"Class 2: Artificial Intelligence, Machine Learning, and Deep Learning",8396,177,2,2020-10-27T15:22:40Z,PT1H16M16S,"This session is focused on understanding artificial intelligence, machine learning, and deep learning and how these are being used in the financial sector."
82,3Ur-mSzDaO8,Artificial Intelligence: Top 10 Super Abilities That Will Destroy Us,52482,1264,68,2020-09-27T20:11:30Z,PT7M14S,Artificial Intelligence: Top 10 super powers that will destroy us. Artificial Intelligence. Revolution. The danger of artificial intelligence. We did not even notice how ...
83,iIHhl6HLgp0,Elon Musk: Superintelligent AI is an Existential Risk to Humanity,249453,6152,187,2020-12-12T20:00:06Z,PT10M6S,"The dangers of advanced artificial intelligence have been popularized in the late 2010s by Stephen Hawking, Bill Gates & Elon Musk. But Musk alone is ..."
84,-6OQVRgOHu8,artificial intelligence (kecerdasan buatan) sederhana menggunakan php dengan modal pemahaman if,11038,206,12,2019-11-09T14:57:50Z,PT18M26S,di video kali ini saya ingin membagikan sedikit ilmu saya tentang artificial intelligence (kecerdasan buatan) sederhana menggunakan php dengan modal ...
85,o-VpNaYNxNI,20 AI in HR Trends for 2020 | Artificial Intelligence | Human Resource Trends,4871,78,4,2020-03-30T12:17:29Z,PT5M2S,Keeping abreast of the latest trends is a great way to ensure an edge over your competitors. HR teams today need to be aware of current #HRTrends and also ...
86,8Pyy2d3SZuM,Artificial Intelligence Tutorial | Artificial Intelligence Full Course | AI Tutorial | Simplilearn,263021,5697,191,2019-10-16T05:30:00Z,PT5H50M2S,"This video on the Artificial Intelligence tutorial will make you learn in detail about the different concepts involved in AI. First, you will understand the basics of AI."
87,8cHZgK3PKGg,الذكاء الصناعي #بدقايق | Artificial Intelligence,225056,3754,27,2020-08-13T18:10:50Z,PT7M36S,مجال الذكاء الصناعي بدأ في خمسينيات القرن الماضي ولا زال يتطور وينمو حتى صار جزء أساسي من حياتنا بدون ما نشعر فيه. تعرفوا عليه أكثر في حلقتنا: الذكاء ...
88,-g0xOJYPjkQ,Scientist Explains Self Improving Artificial Intelligence,329824,5810,154,2020-02-04T20:30:01Z,PT13M36S,Taken from JRE #1422 w/Lex Fridman: https://youtu.be/ZIcQwDkcaWk.
89,qZ1jovXesJA,Classification of Environment in Artificial Intelligence | AI Lectures in Hindi,2758,43,2,2020-05-28T11:15:03Z,PT9M29S,Classification of Environment in Artificial Intelligence | AI Lectures in Hindi Artificial Intelligence Video Lectures in Hindi.
90,aircAruvnKk,"But what is a Neural Network? | Deep learning, chapter 1",8783500,225377,2013,2017-10-05T15:11:25Z,PT19M13S,"... great series on machine learning: https://youtu.be/i8D90DkCLhI https://youtu.be/bxe2T-V8XRs For those of you looking to go *even* deeper, check out the text ..."
91,CMdHDHEuOUE,Google and NASA&#39;s Quantum Artificial Intelligence Lab,9518156,145121,12549,2013-10-11T16:14:40Z,PT6M29S,"A peek at the early days of the Quantum AI Lab: a partnership between NASA, Google, USRA, and a 512-qubit D-Wave Two quantum computer. Learn more at ..."
92,OPct-ibAUNo,Artificial Intelligence “A.I” Kia Hai?,27761,533,62,2019-08-13T20:02:21Z,PT4M32S,"Artificial Intelligence “A.I” Kia Hai? Capital Talk looks at the challenges, issues and concerns facing Pakistan on a daily basis. The format includes a panel of ..."
93,nASDYRkbQIY,What is artificial intelligence?,93950,770,55,2018-11-28T13:39:58Z,PT2M32S,"Technology with AI at its heart has the power to change the world, but what exactly is Artificial Intelligence? The Royal Society is a Fellowship of many of the ..."
94,uBV0w8Qwhv4,How To Become An Artificial Intelligence Engineer | AI Engineer Career Path And Skills | Simplilearn,107798,2523,74,2019-07-01T14:30:02Z,PT7M34S,We will be talking about the below topics in this video: 1. What is Artificial Intelligence 2. Who is an Artificial Intelligence engineer 3. Responsibilities of an AI ...
95,PONPEKK1VkY,Google&#39;s Artificial Intelligence Reveals The Purpose Of Life Before It&#39;s Switched Off,706360,17814,1412,2020-09-13T23:31:45Z,PT10M41S,"Google's artificial intelligence reveals the purpose of life before it's switched off. Today, we take a look at Google's artificial intelligence said before it was ..."
96,s0rwZXt-C04,An Imminent Threat from Artificial Intelligence | Aidan Gomez | TEDxOxford,53249,1249,56,2020-11-12T18:01:20Z,PT13M23S,Aidan Gomez is a doctoral student at the University of Oxford focusing on machine learning. His talk will attempt to highlight some of the more substantial threats ...
97,-Y7PLaxXUrs,True Artificial Intelligence will change everything | Juergen Schmidhuber | TEDxLakeComo,486785,6017,408,2017-11-21T15:00:39Z,PT15M56S,"Artificial Intelligence Scientist. Scientific Director of the Swiss AI Lab, IDSIA, DTI, SUPSI; Prof. of AI, Faculty of Informatics, USI, Lugano; Co-founder & Chief ..."
98,fMhtlrhgUbY,"ARTIFICIAL INTELLIGENCE ENGINEERING ! IIT-HYDERABAD,NSUT,IIIT-D ! CSE vs CSAI  | ML &amp; AI !",29419,2171,54,2020-05-29T14:51:26Z,PT12M23S,Fam 9044 BEST BRANCH FOR YOU 8ND VIDEO this series is about all branches explained THE RIGHT BRANCH FOR YOU so this video is all about ...
99,alhl0etu9JU,Artificial Intelligence Helps Gardener Grow Plants,561,45,5,2021-03-14T14:00:02Z,PT2M58S,Artificial Intelligence Helps Gardener Grow Plants In our quest to help everyone grow some of their own food we are exploring simpler ways of growing. Here is ...
100,mElvY9TTwpo,4 Design Tools You DON&#39;T KNOW ABOUT! (Artificial Intelligence),14392,924,15,2021-02-24T11:00:03Z,PT6M44S,"Some designers are scared or worried about artificial intelligence taking over and stealing our jobs or careers. However, it isn't all doom and gloom."
101,-O01G3tSYpU,A DARPA Perspective on Artificial Intelligence,236183,5423,125,2017-02-15T18:32:50Z,PT16M12S,"What's the ground truth on artificial intelligence (AI)? In this video, John Launchbury, the Director of DARPA's Information Innovation Office (I2O), attempts to ..."
